Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-04-08,The Darjeeling Limited,2007,https://boxd.it/45rRrv,3.5,Yes,,2023-04-07
2023-04-10,Father of the Bride,1991,https://boxd.it/469gXx,1.5,,,2023-04-09
2023-04-11,Air,2023,https://boxd.it/46EQG5,3.5,,,2023-04-10
2023-04-11,Guillermo del Toro's Pinocchio,2022,https://boxd.it/46EQLJ,4,,,2023-04-10
2023-04-17,Fire of Love,2022,https://boxd.it/484r6n,4,,,2023-04-16
2023-04-24,Barton Fink,1991,https://boxd.it/49TZwF,3.5,,,2023-04-23
2023-04-27,Sick,2022,https://boxd.it/4aFsYH,2.5,,,2023-04-26
2023-04-28,Candy Land,2022,https://boxd.it/4b533t,3,,,2023-04-28
2023-04-29,The Pale Blue Eye,2022,https://boxd.it/4bl6D7,2.5,,,2023-04-29
2023-05-04,A Good Person,2023,https://boxd.it/4cuQyf,2,,,2023-05-03
2023-05-04,Causeway,2022,https://boxd.it/4cyGlX,2.5,,,2023-05-03
2023-05-04,A Star Is Born,2018,https://boxd.it/4cyGyH,3,,,2023-05-03
2023-05-05,The Whale,2022,https://boxd.it/4cRdAx,3.5,,,2023-05-04
2023-05-15,How to Blow Up a Pipeline,2022,https://boxd.it/4foVCh,4,,,2023-05-14
2023-05-19,The Teachers’ Lounge,2023,https://boxd.it/4gsFRd,3.5,,,2023-05-18
2023-05-20,Croupier,1998,https://boxd.it/4gyzmv,3,,,2023-05-19
2023-05-22,The In-Laws,1979,https://boxd.it/4h2FOb,2.5,,,2023-05-21
2023-05-24,Happening,2021,https://boxd.it/4hJQgF,3.5,,,2023-05-23
2023-05-27,John Mulaney: Baby J,2023,https://boxd.it/4ip715,2.5,,,2023-05-26
2023-05-29,Analyze This,1999,https://boxd.it/4iZdYJ,3,,,2023-05-29
2023-06-05,John Wick: Chapter 4,2023,https://boxd.it/4kzbn3,3,,,2023-06-04
2023-06-05,Stars at Noon,2022,https://boxd.it/4kD3ON,3.5,,,2023-06-04
2023-06-06,L'Argent,1983,https://boxd.it/4kXbah,2.5,,,2023-06-05
2023-06-08,All the Beauty and the Bloodshed,2022,https://boxd.it/4luicP,3.5,,,2023-06-07
2023-06-10,Only Lovers Left Alive,2013,https://boxd.it/4mbB5T,3,,,2023-06-10
2023-06-11,Sexy Beast,2000,https://boxd.it/4mua7r,3,,,2023-06-11
2023-06-12,Corsage,2022,https://boxd.it/4muxIl,2.5,,,2023-06-11
2023-06-12,Before Midnight,2013,https://boxd.it/4mvH4H,3.5,,,2023-06-11
2023-06-18,The Thomas Crown Affair,1999,https://boxd.it/4o7juB,3,,,2023-06-17
2023-06-18,Career Opportunities,1991,https://boxd.it/4o7nbX,1.5,,,2023-06-17
2023-06-18,A Cure for Wellness,2016,https://boxd.it/4o9s5z,2.5,,,2023-06-17
2023-06-18,Shivers,1975,https://boxd.it/4obC8x,2,,,2023-06-17
2023-06-20,Jack & Sarah,1995,https://boxd.it/4oOiXX,3.5,,,2023-06-19
2023-06-21,Asteroid City,2023,https://boxd.it/4pg09L,4,,,2023-06-20
2023-06-28,Reality,2023,https://boxd.it/4rfm9p,3,,,2023-06-28
2023-06-28,This Is the End,2013,https://boxd.it/4rgckf,2.5,Yes,,2023-06-28
2023-06-29,Brief Encounter,1945,https://boxd.it/4rk3Sv,3.5,,,2023-06-28
2023-07-06,Witness,1985,https://boxd.it/4trTNf,3,,,2023-07-05
2023-07-06,Rounders,1998,https://boxd.it/4tszV1,3.5,,,2023-07-05
2023-07-07,On the Waterfront,1954,https://boxd.it/4tJbYJ,4,,,2023-07-06
2023-07-09,The Color of Money,1986,https://boxd.it/4uvtpD,,,,2023-07-09
2023-07-09,The Age of Innocence,1993,https://boxd.it/4uxDHB,,,,2023-07-09
2023-07-11,The Covenant,2023,https://boxd.it/4v8vrT,,,,2023-07-11
2023-07-16,Raiders of the Lost Ark,1981,https://boxd.it/4wDUwv,,,,2023-07-15
2023-07-29,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4BpNv3,,,,2023-07-25
2023-07-29,Oppenheimer,2023,https://boxd.it/4BpN1R,,,,2023-07-27
2023-07-29,Barbie,2023,https://boxd.it/4BpMrJ,,,,2023-07-28
2023-07-31,Diamonds Are Forever,1971,https://boxd.it/4C6mfN,,,,2023-07-30
2023-07-31,Never Say Never Again,1983,https://boxd.it/4C9jOL,,,,2023-07-30
2023-08-05,Mission: Impossible – Dead Reckoning Part One,2023,https://boxd.it/4E7UIT,,,,2023-08-04
2023-08-20,No Hard Feelings,2023,https://boxd.it/4ILpqZ,,,,2023-08-19
2023-08-20,Kandahar,2023,https://boxd.it/4ILpUZ,,,,2023-08-19
2023-08-20,12 Strong,2018,https://boxd.it/4INytR,,,,2023-08-19
2023-08-20,Biosphere,2022,https://boxd.it/4J3olZ,,,,2023-08-20
2023-08-20,The Pelican Brief,1993,https://boxd.it/4J4hSJ,,,,2023-08-20
2023-08-22,Platoon,1986,https://boxd.it/4JJAED,,,,2023-08-22
2023-08-23,Scream,1996,https://boxd.it/4JN7fd,,,,2023-08-22
2023-08-24,Extraction 2,2023,https://boxd.it/4KceKn,,,,2023-08-24
2023-09-06,The Equalizer 2,2018,https://boxd.it/4O57Q1,,,,2023-09-05
2023-09-06,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/4Of45V,,,,2023-09-06
